,track_artist,track_popularity,track_album_release_date,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity_label,release_date_label
0,Ed Sheeran,66.0,2019-06-14,pop,dance pop,0.748,0.916,6.0,-2.634,1.0,0.0583,0.102,0.0,0.0653,0.518,122.036,194754.0,Medium,2015-2020
1,Maroon 5,67.0,2019-12-13,pop,dance pop,0.726,0.815,11.0,-4.969,1.0,0.0373,0.0724,0.00421,0.357,0.693,99.972,162600.0,Medium,2015-2020
2,Zara Larsson,70.0,2019-07-05,pop,dance pop,0.675,0.931,1.0,-3.432,0.0,0.0742,0.0794,2.33e-05,0.11,0.613,124.008,176616.0,Medium,2015-2020
3,The Chainsmokers,60.0,2019-07-19,pop,dance pop,0.718,0.93,7.0,-3.778,1.0,0.102,0.0287,9.43e-06,0.204,0.277,121.956,169093.0,Medium,2015-2020
4,Lewis Capaldi,69.0,2019-03-05,pop,dance pop,0.65,0.833,1.0,-4.672,1.0,0.0359,0.0803,0.0,0.0833,0.725,123.976,189052.0,Medium,2015-2020
5,Ed Sheeran,67.0,2019-07-11,pop,dance pop,0.675,0.919,8.0,-5.385,1.0,0.127,0.0799,0.0,0.143,0.585,124.982,163049.0,Medium,2015-2020
6,Katy Perry,62.0,2019-07-26,pop,dance pop,0.449,0.856,5.0,-4.788,0.0,0.0623,0.187,0.0,0.176,0.152,112.648,187675.0,Medium,2015-2020
7,Sam Feldt,69.0,2019-08-29,pop,dance pop,0.542,0.903,4.0,-2.419,0.0,0.0434,0.0335,4.83e-06,0.111,0.367,127.936,207619.0,Medium,2015-2020
8,Avicii,68.0,2019-06-14,pop,dance pop,0.594,0.935,8.0,-3.562,1.0,0.0565,0.0249,3.97e-06,0.637,0.366,127.015,193187.0,Medium,2015-2020
9,Shawn Mendes,67.0,2019-06-20,pop,dance pop,0.642,0.818,2.0,-4.552,1.0,0.032,0.0567,0.0,0.0919,0.59,124.957,253040.0,Medium,2015-2020
10,Ed Sheeran,58.0,2019-06-21,pop,dance pop,0.679,0.923,6.0,-6.5,1.0,0.181,0.146,4.92e-06,0.124,0.752,121.984,207894.0,Medium,2015-2020
11,Ellie Goulding,67.0,2019-08-16,pop,dance pop,0.437,0.774,8.0,-4.918,1.0,0.0554,0.148,0.0,0.133,0.329,123.125,203733.0,Medium,2015-2020
12,Loud Luxury,67.0,2019-03-29,pop,dance pop,0.744,0.726,1.0,-4.675,1.0,0.0463,0.0399,0.0,0.374,0.687,121.985,192507.0,Medium,2015-2020
13,Avicii,68.0,2019-05-17,pop,dance pop,0.572,0.915,5.0,-4.451,0.0,0.0625,0.0111,0.0,0.339,0.678,123.919,164516.0,Medium,2015-2020
14,Martin Garrix,63.0,2019-07-12,pop,dance pop,0.69,0.78,5.0,-4.446,0.0,0.0594,0.00733,0.00183,0.0729,0.238,126.07,255238.0,Medium,2015-2020
15,Ed Sheeran,66.0,2019-12-11,pop,dance pop,0.805,0.835,0.0,-4.603,1.0,0.0896,0.13,5.03e-06,0.365,0.722,125.028,188230.0,Medium,2015-2020
16,AJ Mitchell,60.0,2019-05-03,pop,dance pop,0.694,0.901,1.0,-4.322,0.0,0.0948,0.0702,0.0,0.427,0.368,118.051,173548.0,Medium,2015-2020
17,David Guetta,65.0,2018-12-28,pop,dance pop,0.678,0.747,10.0,-5.289,0.0,0.165,0.0395,0.0,0.174,0.516,120.002,189375.0,Medium,2015-2020
18,Sam Smith,69.0,2019-03-08,pop,dance pop,0.746,0.557,1.0,-6.722,1.0,0.0542,0.103,0.0036,0.138,0.324,111.961,159404.0,Medium,2015-2020
19,Steve Aoki,35.0,2019-10-18,pop,dance pop,0.467,0.821,7.0,-5.466,1.0,0.0934,0.00791,0.000441,0.131,0.232,122.676,185366.0,Low,2015-2020
20,Avicii,70.0,2019-08-23,pop,dance pop,0.572,0.934,6.0,-5.053,0.0,0.0446,0.00292,0.0198,0.105,0.204,125.948,215238.0,Medium,2015-2020
21,R3HAB,64.0,2019-08-23,pop,dance pop,0.708,0.913,9.0,-4.329,0.0,0.0348,0.089,0.081,0.113,0.707,135.016,170667.0,Medium,2015-2020
22,David Guetta,62.0,2019-05-08,pop,dance pop,0.684,0.818,4.0,-4.477,0.0,0.128,0.0469,3.39e-06,0.119,0.336,123.938,210968.0,Medium,2015-2020
23,AJ Mitchell,70.0,2019-10-25,pop,dance pop,0.732,0.85,1.0,-5.999,1.0,0.0444,0.114,2.02e-06,0.0388,0.372,124.024,193548.0,Medium,2015-2020
24,The Chainsmokers,58.0,2019-05-24,pop,dance pop,0.62,0.889,11.0,-3.785,1.0,0.0352,0.0163,1.86e-05,0.395,0.422,110.018,205093.0,Medium,2015-2020
25,Lewis Capaldi,63.0,2019-06-21,pop,dance pop,0.675,0.76,11.0,-7.037,1.0,0.0434,0.104,0.0,0.33,0.468,124.933,172800.0,Medium,2015-2020
26,Marshmello,66.0,2019-08-09,pop,dance pop,0.682,0.851,1.0,-7.117,0.0,0.0363,0.0146,0.000834,0.0289,0.348,126.0,192381.0,Medium,2015-2020
27,Ellie Goulding,8.0,2019-02-01,pop,dance pop,0.663,0.905,1.0,-3.781,0.0,0.0511,0.0325,0.0,0.333,0.397,125.996,175000.0,Low,2015-2020
28,Ava Max,62.0,2019-05-23,pop,dance pop,0.625,0.938,6.0,-3.983,1.0,0.0517,0.00432,0.00026,0.0923,0.371,127.997,166875.0,Medium,2015-2020
29,Nikki Vianna,30.0,2019-04-19,pop,dance pop,0.679,0.909,1.0,-2.929,1.0,0.105,0.0334,0.0,0.269,0.819,119.885,155080.0,Low,2015-2020
30,Charlie Puth,56.0,2019-11-01,pop,dance pop,0.641,0.869,11.0,-4.754,1.0,0.0423,0.0319,0.00131,0.403,0.358,128.091,178125.0,Medium,2015-2020
31,Starley,56.0,2018-11-30,pop,dance pop,0.702,0.814,0.0,-7.51,0.0,0.0841,0.107,3.03e-05,0.374,0.503,121.993,172000.0,Medium,2015-2020
32,Zara Larsson,58.0,2018-11-23,pop,dance pop,0.723,0.837,11.0,-6.487,1.0,0.0389,0.0103,0.000477,0.0834,0.643,123.952,177097.0,Medium,2015-2020
33,Ava Max,60.0,2019-09-05,pop,dance pop,0.742,0.864,0.0,-5.06,1.0,0.0976,0.00141,0.00467,0.241,0.727,125.032,169935.0,Medium,2015-2020
34,James Arthur,60.0,2019-11-22,pop,dance pop,0.716,0.815,10.0,-4.121,1.0,0.0533,0.108,0.0,0.163,0.351,124.975,220413.0,Medium,2015-2020
35,MAX,55.0,2019-06-21,pop,dance pop,0.748,0.831,1.0,-5.029,1.0,0.115,0.0823,7.36e-05,0.0757,0.894,128.024,185273.0,Medium,2015-2020
36,Marshmello,59.0,2018-11-30,pop,dance pop,0.816,0.833,5.0,-5.972,1.0,0.0511,0.126,9.09e-06,0.0625,0.793,122.032,170164.0,Medium,2015-2020
37,The Chainsmokers,63.0,2018-07-25,pop,dance pop,0.633,0.854,0.0,-4.046,0.0,0.0432,0.0382,2.83e-05,0.434,0.659,126.026,172360.0,Medium,2015-2020
38,ILLENIUM,67.0,2019-07-12,pop,dance pop,0.563,0.81,2.0,-2.921,1.0,0.0522,0.00522,0.0,0.0846,0.495,129.975,247385.0,Medium,2015-2020
39,Bazzi vs.,55.0,2019-06-27,pop,dance pop,0.728,0.815,11.0,-2.878,0.0,0.046,0.00223,0.000317,0.101,0.681,124.019,218015.0,Medium,2015-2020
40,Charli XCX,56.0,2019-10-25,pop,dance pop,0.846,0.773,5.0,-3.503,1.0,0.0473,0.0141,2.23e-05,0.204,0.586,124.008,200444.0,Medium,2015-2020
41,Kygo,87.0,2019-06-28,pop,dance pop,0.693,0.678,8.0,-7.159,1.0,0.0324,0.0154,6.05e-06,0.101,0.404,103.952,228267.0,High,2015-2020
42,Armin van Buuren,62.0,2019-10-18,pop,dance pop,0.678,0.928,3.0,-3.66,0.0,0.0597,0.0303,3.33e-05,0.143,0.663,116.892,150160.0,Medium,2015-2020
43,Billie Eilish,83.0,2019-07-11,pop,dance pop,0.67,0.453,0.0,-11.265,1.0,0.295,0.252,0.33,0.117,0.68,135.055,194840.0,High,2015-2020
44,Ava Max,55.0,2019-11-01,pop,dance pop,0.755,0.931,1.0,-4.104,0.0,0.0606,0.132,0.0271,0.0854,0.288,122.041,177466.0,Medium,2015-2020
45,Sia,61.0,2019-05-24,pop,dance pop,0.622,0.859,5.0,-7.626,1.0,0.0636,0.000609,0.746,0.0909,0.442,121.968,218373.0,Medium,2015-2020
